Row,BODYsync_MultiClass,CROSSsync_MultiClass,CROSSturn_MultiClass,FACEsync_MultiClass,HEADsync_MultiClass,INTRAsync_MultiClass,MovEx_MultiClass,Speech_MultiClass,STACK_MultiClass
BODYsync_MultiClass,NaN,2.36768604722215e-09,1.85242003958308e-08,1.61974045287394e-09,4.90520432878672e-05,0.266774141395211,3.33066907387547e-15,0,0
CROSSsync_MultiClass,NaN,NaN,0.358399821873105,0.474144030198228,0.0225509490143263,7.54439172245824e-08,0.0218173680392335,0.000104882431777087,0.000170785423605824
CROSSturn_MultiClass,NaN,NaN,NaN,0.334476094944581,0.0502854254867848,4.85423240603744e-07,0.00868745213596478,2.40618472183707e-05,4.08312239338349e-05
FACEsync_MultiClass,NaN,NaN,NaN,NaN,0.0193056527454777,5.34346058511659e-08,0.0254117150761258,0.000134779214616576,0.000217852704322508
HEADsync_MultiClass,NaN,NaN,NaN,NaN,NaN,0.000518811459431334,3.08732201341755e-05,7.08793623793724e-09,1.44497407372768e-08
INTRAsync_MultiClass,NaN,NaN,NaN,NaN,NaN,NaN,3.04867242562068e-13,0,0
MovEx_MultiClass,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0444370646491163,0.0576641964613617
Speech_MultiClass,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.44947005182429
STACK_MultiClass,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
