Row,BODYsync_MultiClass,CROSSsync_MultiClass,CROSSturn_MultiClass,FACEsync_MultiClass,HEADsync_MultiClass,INTRAsync_MultiClass,MovEx_MultiClass,Speech_MultiClass,STACK_MultiClass
BODYsync_MultiClass,NaN,1.06545872124997e-08,6.06246558409008e-08,8.33009375763741e-09,9.81040865757343e-05,0.300120909069612,2.39808173319034e-14,0,0
CROSSsync_MultiClass,NaN,NaN,0.379482164336229,0.474144030198228,0.0300679320191017,2.08921616929613e-07,0.0300679320191017,0.000198724607577638,0.000292775011895698
CROSSturn_MultiClass,NaN,NaN,NaN,0.364883012666816,0.0603425105841418,1.24823119012391e-06,0.0130311782039472,5.77484333240896e-05,8.64661212716503e-05
FACEsync_MultiClass,NaN,NaN,NaN,NaN,0.0278001399534879,1.60303817553498e-07,0.0326722050978761,0.000242602586309837,0.000356486243436831
HEADsync_MultiClass,NaN,NaN,NaN,NaN,NaN,0.000812052719109914,6.94647453018948e-05,2.8351744951749e-08,5.20190666541964e-08
INTRAsync_MultiClass,NaN,NaN,NaN,NaN,NaN,NaN,1.82920345537241e-12,0,0
MovEx_MultiClass,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0551632526678686,0.0669648733099684
Speech_MultiClass,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.462312053304984
STACK_MultiClass,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
