Row,BODYsync_G2_vs_REST,CROSSsync_G2_vs_REST,CROSSturn_G2_vs_REST,FACEsync_G2_vs_REST,HEADsync_G2_vs_REST,INTRAsync_G2_vs_REST,MovEx_G2_vs_REST,Speech_G2_vs_REST,STACK_G2_vs_REST
CV2: R1_F1_C2,14.5833333333333,45.8333333333333,37.5,83.3333333333333,100,45.8333333333333,52.0833333333333,50,75
CV2: R1_F2_C2,39.5833333333333,35.4166666666667,100,37.5,87.5,70.8333333333333,75,37.5,62.5
CV2: R1_F3_C2,58.9285714285714,91.6666666666667,50,37.5,100,50,62.5,50,75
CV2: R1_F4_C2,20.8333333333333,47.9166666666667,37.5,87.5,62.5,60.4166666666667,50,56.25,75
CV2: R1_F5_C2,35.4166666666667,83.3333333333333,75,39.2857142857143,50,37.5,50,58.3333333333333,50
CV2: R1_F6_C2,27.0833333333333,25,62.5,62.5,71.875,31.25,70.8333333333333,41.0714285714286,50
CV2: R1_F7_C2,37.5,62.5,71.875,62.5,37.5,47.9166666666667,86.25,98.2142857142857,87.5
CV2: R1_F8_C2,22.2222222222222,60.1190476190476,41.6666666666667,54.1666666666667,66.6666666666667,69.4444444444444,72.2222222222222,77.0833333333333,62.5
CV2: R1_F9_C2,27.7777777777778,86.1111111111111,31.25,56.25,25,40.2777777777778,45.8333333333333,60.4166666666667,50
CV2: R1_F10_C2,59.0277777777778,45.8333333333333,55.2083333333333,81.9444444444444,79.1666666666667,62.5,77.3809523809524,64.0625,41.6666666666667
CV2: R2_F1_C2,54.1666666666667,81.25,60.7142857142857,75,75,71.4285714285714,83.3333333333333,35.4166666666667,62.5
CV2: R2_F2_C2,31.25,75,62.5,87.5,87.5,58.3333333333333,87.5,87.5,87.5
CV2: R2_F3_C2,35.4166666666667,64.5833333333333,62.5,50,75,46.875,87.5,12.5,37.5
CV2: R2_F4_C2,60.4166666666667,45.8333333333333,47.9166666666667,82.1428571428571,75,54.1666666666667,50,83.3333333333333,75
CV2: R2_F5_C2,4.16666666666667,54.1666666666667,52.5,55.3571428571429,62.5,47.9166666666667,72.9166666666667,75,75
CV2: R2_F6_C2,52.0833333333333,50,70.8333333333333,67.8571428571429,50,43.75,72.9166666666667,56.25,62.5
CV2: R2_F7_C2,35.4166666666667,54.1666666666667,28.75,73.2142857142857,44.3181818181818,45.8333333333333,37.5,37.5,62.5
CV2: R2_F8_C2,30.5555555555555,44.4444444444444,65.2777777777778,66.6666666666667,58.3333333333333,86.4583333333333,87.8787878787879,79.7619047619047,54.1666666666667
CV2: R2_F9_C2,41.6666666666667,61.4583333333333,45.8333333333333,65.4761904761905,75,26.3888888888889,62.5,61.9047619047619,37.5
CV2: R2_F10_C2,60.4166666666667,70.8333333333333,42.2619047619048,63.0952380952381,41.0714285714286,63.0952380952381,62.5,61.1111111111111,66.6666666666667
CV2: R3_F1_C2,37.5,56.25,62.5,52.0833333333333,87.5,37.5,77.0833333333333,77.0833333333333,87.5
CV2: R3_F2_C2,33.3333333333333,87.5,70.8333333333333,50,50,77.0833333333333,87.5,66.6666666666667,75
CV2: R3_F3_C2,37.5,77.0833333333333,62.5,60.4166666666667,75,64.5833333333333,62.5,75,100
CV2: R3_F4_C2,41.6666666666667,45.8333333333333,91.6666666666667,62.5,50,66.0714285714286,68.0555555555556,75,75
CV2: R3_F5_C2,54.1666666666667,68.75,52.0833333333333,62.5,87.5,54.1666666666667,100,62.5,87.5
CV2: R3_F6_C2,25,18.75,25,37.5,50,31.25,50,52.0833333333333,25
CV2: R3_F7_C2,46.4285714285714,55.3571428571429,26.7857142857143,66.6666666666667,75,65.625,83.3333333333333,82.1428571428571,75
CV2: R3_F8_C2,8.33333333333333,45.8333333333333,83.3333333333333,66.6666666666667,41.6666666666667,34.0277777777778,41.6666666666667,69.4444444444444,62.5
CV2: R3_F9_C2,8.33333333333333,66.6666666666667,53.6458333333333,58.3333333333333,25,69.4444444444444,60.7142857142857,38.1944444444444,50
CV2: R3_F10_C2,73.6111111111111,36.8055555555556,54.1666666666667,54.1666666666667,83.3333333333333,36.1111111111111,53.7878787878788,50.6944444444444,37.5
CV2: R4_F1_C2,20.8333333333333,43.75,50,66.0714285714286,37.5,20.8333333333333,31.25,45.8333333333333,50
CV2: R4_F2_C2,47.9166666666667,68.75,58.9285714285714,43.75,75,53.5714285714286,50,95.8333333333333,75
CV2: R4_F3_C2,64.5833333333333,75,62.5,62.5,79.1666666666667,52.0833333333333,77.0833333333333,81.25,62.5
CV2: R4_F4_C2,32.1428571428571,41.6666666666667,75,35.4166666666667,100,39.5833333333333,100,37.5,62.5
CV2: R4_F5_C2,29.1666666666667,42.8571428571429,62.5,75,87.5,87.5,87.5,75,87.5
CV2: R4_F6_C2,45.8333333333333,56.25,25,52.0833333333333,75,56.25,58.9285714285714,18.75,75
CV2: R4_F7_C2,62.5,75,48.75,54.1666666666667,86.3636363636364,68.75,81.25,60.4166666666667,75
CV2: R4_F8_C2,23.6111111111111,62.5,58.3333333333333,80.5555555555556,45.8333333333333,50,77.7777777777778,77.7777777777778,75
CV2: R4_F9_C2,45.1388888888889,20.8333333333333,70.8333333333333,59.8958333333333,58.3333333333333,51.1904761904762,83.3333333333333,70.8333333333333,83.3333333333333
CV2: R4_F10_C2,37.5,33.3333333333333,50.5952380952381,70.8333333333333,65.2777777777778,79.8611111111111,31.25,52.0833333333333,33.3333333333333
CV2: R5_F1_C2,43.75,66.6666666666667,46.4285714285714,57.1428571428571,75,52.0833333333333,87.5,50,50
CV2: R5_F2_C2,43.75,30.3571428571429,50,50,75,50,75,53.5714285714286,62.5
CV2: R5_F3_C2,27.0833333333333,45.8333333333333,43.75,75,75,75,85.2272727272727,50,62.5
CV2: R5_F4_C2,75,58.3333333333333,44.6428571428571,62.5,50,56.25,62.5,75,62.5
