Row,BODYsync_Cl3,CROSSsync_Cl3,CROSSturn_Cl3,FACEsync_Cl3,HEADsync_Cl3,INTRAsync_Cl3,MovEx_Cl3,Speech_Cl3,STACK_Cl3
BODYsync_Cl3,NaN,5.76637224799503e-05,0.455265837426098,6.22824343987638e-07,0.2378704984467,1.27043930930881e-11,1.88102649926192e-05,0.000520540800614366,3.46122353001022e-10
CROSSsync_Cl3,NaN,NaN,9.01933766429552e-05,0.156224630910715,2.59131422131187e-06,0,0.393654900029431,0.279739893875221,0.00902737512772878
CROSSturn_Cl3,NaN,NaN,NaN,1.07767639800915e-06,0.204551101811293,6.06514838352723e-12,3.02304390479291e-05,0.000767681896441941,6.83206491380872e-10
FACEsync_Cl3,NaN,NaN,NaN,NaN,1.48247153441972e-08,0,0.229503916970713,0.0556001001485329,0.0873171500685134
HEADsync_Cl3,NaN,NaN,NaN,NaN,NaN,1.08697217893194e-09,7.12388606882719e-07,3.39415290135925e-05,3.61410901206227e-12
INTRAsync_Cl3,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
MovEx_Cl3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.196748496551675,0.0180432512531237
Speech_Cl3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00161857424379086
STACK_Cl3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
