Row,BODYsync_Cl2,CROSSsync_Cl2,CROSSturn_Cl2,FACEsync_Cl2,HEADsync_Cl2,INTRAsync_Cl2,MovEx_Cl2,Speech_Cl2,STACK_Cl2
BODYsync_Cl2,NaN,9.92139703726025e-12,2.96259436982638e-08,0,0,1.12000641960819e-07,0,0,0
CROSSsync_Cl2,NaN,NaN,0.106762153244737,0.074931251955088,0.000781017409253959,0.069324659310406,0.000506975797806924,0.0465719494506269,3.45250391515783e-05
CROSSturn_Cl2,NaN,NaN,NaN,0.00346213960168023,3.89525257906063e-06,0.401027192487693,2.02431683077747e-06,0.00144895426451635,8.34452631437443e-08
FACEsync_Cl2,NaN,NaN,NaN,NaN,0.0479596190109083,0.00145786210224514,0.0369005847057739,0.401027192487693,0.00663643207671435
HEADsync_Cl2,NaN,NaN,NaN,NaN,NaN,1.15767555974866e-06,0.440092406382847,0.0769709804266195,0.227225501368972
INTRAsync_Cl2,NaN,NaN,NaN,NaN,NaN,NaN,5.87287629073462e-07,0.000602926759800096,2.23075460960485e-08
MovEx_Cl2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0631119420000153,0.269467654224628
Speech_Cl2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0145878530801557
STACK_Cl2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
