Row,BODYsync_G3_vs_REST,CROSSsync_G3_vs_REST,CROSSturn_G3_vs_REST,FACEsync_G3_vs_REST,HEADsync_G3_vs_REST,INTRAsync_G3_vs_REST,MovEx_G3_vs_REST,Speech_G3_vs_REST,STACK_G3_vs_REST
BODYsync_G3_vs_REST,NaN,5.76637224799503e-05,0.455265837426098,6.22824343987638e-07,0.2378704984467,1.27043930930881e-11,1.88102649926192e-05,0.000520540800614366,3.46122353001022e-10
CROSSsync_G3_vs_REST,NaN,NaN,9.01933766429552e-05,0.156224630910715,2.59131422131187e-06,0,0.393654900029431,0.279739893875221,0.00902737512772878
CROSSturn_G3_vs_REST,NaN,NaN,NaN,1.07767639800915e-06,0.204551101811293,6.06514838352723e-12,3.02304390479291e-05,0.000767681896441941,6.83206491380872e-10
FACEsync_G3_vs_REST,NaN,NaN,NaN,NaN,1.48247153441972e-08,0,0.229503916970713,0.0556001001485329,0.0873171500685134
HEADsync_G3_vs_REST,NaN,NaN,NaN,NaN,NaN,1.08697217893194e-09,7.12388606882719e-07,3.39415290135925e-05,3.61410901206227e-12
INTRAsync_G3_vs_REST,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
MovEx_G3_vs_REST,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.196748496551675,0.0180432512531237
Speech_G3_vs_REST,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00161857424379086
STACK_G3_vs_REST,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
