Row,BODYsync_G3_vs_REST,CROSSsync_G3_vs_REST,CROSSturn_G3_vs_REST,FACEsync_G3_vs_REST,HEADsync_G3_vs_REST,INTRAsync_G3_vs_REST,MovEx_G3_vs_REST,Speech_G3_vs_REST,STACK_G3_vs_REST
CV2: R1_F1_C3,47.2222222222222,100,58.3333333333333,64.5833333333333,50,12.5,83.3333333333333,64.5833333333333,62.5
CV2: R1_F2_C3,68.75,75,62.5,76.7857142857143,62.5,33.9285714285714,62.5,30.3571428571429,87.5
CV2: R1_F3_C3,97.9166666666667,77.0833333333333,87.5,100,12.5,31.25,78.5714285714286,75,100
CV2: R1_F4_C3,79.1666666666667,87.5,44.6428571428571,62.5,52.5,39.2857142857143,62.5,75,87.5
CV2: R1_F5_C3,44.6428571428571,41.6666666666667,53.5714285714286,60.9375,62.5,27.0833333333333,56.25,85.4166666666667,50
CV2: R1_F6_C3,45.8333333333333,62.5,75,62.5,75,41.6666666666667,100,75,87.5
CV2: R1_F7_C3,41.6666666666667,64.5833333333333,32.5,75,50,39.2857142857143,68.75,60.4166666666667,62.5
CV2: R1_F8_C3,50,39.2857142857143,64.2857142857143,75,40.625,56.25,100,47.9166666666667,100
CV2: R1_F9_C3,79.1666666666667,69.0476190476191,63.8888888888889,57.1428571428571,50,53.7037037037037,45.8333333333333,41.6666666666667,58.3333333333333
CV2: R1_F10_C3,66.6666666666667,91.6666666666667,83.3333333333333,100,75,67.8571428571429,55.5555555555555,91.6666666666667,75
CV2: R2_F1_C3,89.5833333333333,91.6666666666667,75,68.75,75,66.0714285714286,50,75,87.5
CV2: R2_F2_C3,18.75,66.0714285714286,95.8333333333333,72.7272727272727,62.5,35.7142857142857,87.5,91.6666666666667,62.5
CV2: R2_F3_C3,64.5833333333333,72.9166666666667,55.5555555555556,87.5,75,26.7857142857143,86.25,54.1666666666667,100
CV2: R2_F4_C3,77.0833333333333,45.8333333333333,46.875,67.8571428571429,58.3333333333333,33.3333333333333,81.25,56.25,75
CV2: R2_F5_C3,62.5,75,62.5,100,62.5,31.25,53.5714285714286,58.9285714285714,75
CV2: R2_F6_C3,47.9166666666667,87.5,44.6428571428571,79.1666666666667,32.8125,26.7857142857143,64.5833333333333,60.4166666666667,75
CV2: R2_F7_C3,50,60.4166666666667,62.5,75,48.4375,32.1428571428571,60,25,62.5
CV2: R2_F8_C3,37.5,100,58.3333333333333,50,58.3333333333333,62.5,75,87.5,100
CV2: R2_F9_C3,16.6666666666667,18.75,46.4285714285714,58.3333333333333,35.4166666666667,29.1666666666667,65.2777777777778,97.2222222222222,41.6666666666667
CV2: R2_F10_C3,77.7777777777778,58.3333333333333,94.4444444444445,59.7222222222222,58.3333333333333,41.6666666666667,73.9583333333333,69.4444444444444,66.6666666666667
CV2: R3_F1_C3,52.0833333333333,71.4285714285714,25,43.75,62.5,31.25,60.4166666666667,60.4166666666667,62.5
CV2: R3_F2_C3,50,56.25,79.1666666666667,89.5833333333333,51.25,47.9166666666667,97.9166666666667,68.75,87.5
CV2: R3_F3_C3,92.8571428571429,87.5,62.5,54.6875,62.5,37.5,50,57.1428571428571,87.5
CV2: R3_F4_C3,62.5,62.5,62.5,96.4285714285714,62.5,43.75,56.25,62.5,62.5
CV2: R3_F5_C3,60.7142857142857,78.125,66.6666666666667,47.9166666666667,29.1666666666667,50,75,100,100
CV2: R3_F6_C3,58.3333333333333,66.6666666666667,87.5,50,87.5,13.8888888888889,100,71.4285714285714,87.5
CV2: R3_F7_C3,66.6666666666667,85.4166666666667,75,100,62.5,45.3125,91.6666666666667,75,100
CV2: R3_F8_C3,12.5,16.0714285714286,43.75,62.5,0,16.6666666666667,29.1666666666667,22.9166666666667,0
CV2: R3_F9_C3,70.8333333333333,66.6666666666667,54.7619047619048,56.25,59.1666666666667,32.1428571428571,85,45.2380952380952,66.6666666666667
CV2: R3_F10_C3,75,79.7619047619047,86.1111111111111,100,91.6666666666667,62.5,54.1666666666667,80.5555555555556,91.6666666666667
CV2: R4_F1_C3,50,33.3333333333333,54.1666666666667,50,50,14.5833333333333,78.125,70.8333333333333,75
CV2: R4_F2_C3,68.75,66.0714285714286,62.5,95.8333333333333,58.9285714285714,27.0833333333333,62.5,75,62.5
CV2: R4_F3_C3,43.75,100,79.1666666666667,50,75,46.4285714285714,72.9166666666667,98.2142857142857,75
CV2: R4_F4_C3,42.8571428571429,75,57.8125,37.5,56.25,28.5714285714286,64.5833333333333,68.75,87.5
