Row,BODYsync_G2_vs_REST,CROSSsync_G2_vs_REST,CROSSturn_G2_vs_REST,FACEsync_G2_vs_REST,HEADsync_G2_vs_REST,INTRAsync_G2_vs_REST,MovEx_G2_vs_REST,Speech_G2_vs_REST,STACK_G2_vs_REST
BODYsync_G2_vs_REST,0,7.0742849031947,5.74418470430234,8.62770382069836,10.4467950068948,5.46447738822189,10.5975786133431,8.92430287522772,11.2818182244831
CROSSsync_G2_vs_REST,7.0742849031947,0,1.33010019889236,1.55341891750366,3.37251010370008,1.60980751497281,3.52329371014843,1.85001797203303,4.2075333212884
CROSSturn_G2_vs_REST,5.74418470430234,1.33010019889236,0,2.88351911639602,4.70261030259244,0.279707316080455,4.85339390904079,3.18011817092538,5.53763352018076
FACEsync_G2_vs_REST,8.62770382069836,1.55341891750366,2.88351911639602,0,1.81909118619642,3.16322643247647,1.96987479264477,0.296599054529363,2.65411440378474
HEADsync_G2_vs_REST,10.4467950068948,3.37251010370008,4.70261030259244,1.81909118619642,0,4.9823176186729,0.150783606448345,1.52249213166706,0.83502321758832
INTRAsync_G2_vs_REST,5.46447738822189,1.60980751497281,0.279707316080455,3.16322643247647,4.9823176186729,0,5.13310122512124,3.45982548700584,5.81734083626122
MovEx_G2_vs_REST,10.5975786133431,3.52329371014843,4.85339390904079,1.96987479264477,0.150783606448345,5.13310122512124,0,1.6732757381154,0.684239611139976
Speech_G2_vs_REST,8.92430287522772,1.85001797203303,3.18011817092538,0.296599054529363,1.52249213166706,3.45982548700584,1.6732757381154,0,2.35751534925538
STACK_G2_vs_REST,11.2818182244831,4.2075333212884,5.53763352018076,2.65411440378474,0.83502321758832,5.81734083626122,0.684239611139976,2.35751534925538,0
