Row,BODYsync_G3_vs_REST,CROSSsync_G3_vs_REST,CROSSturn_G3_vs_REST,FACEsync_G3_vs_REST,HEADsync_G3_vs_REST,INTRAsync_G3_vs_REST,MovEx_G3_vs_REST,Speech_G3_vs_REST,STACK_G3_vs_REST
BODYsync_G3_vs_REST,0,7584.75,220,9563,1396.5,13246.5,8113,6442,12222.25
CROSSsync_G3_vs_REST,7584.75,0,7364.75,1978.25,8981.25,20831.25,528.25,1142.75,4637.5
CROSSturn_G3_vs_REST,220,7364.75,0,9343,1616.5,13466.5,7893,6222,12002.25
FACEsync_G3_vs_REST,9563,1978.25,9343,0,10959.5,22809.5,1450,3121,2659.25
HEADsync_G3_vs_REST,1396.5,8981.25,1616.5,10959.5,0,11850,9509.5,7838.5,13618.75
INTRAsync_G3_vs_REST,13246.5,20831.25,13466.5,22809.5,11850,0,21359.5,19688.5,25468.75
MovEx_G3_vs_REST,8113,528.25,7893,1450,9509.5,21359.5,0,1671,4109.25
Speech_G3_vs_REST,6442,1142.75,6222,3121,7838.5,19688.5,1671,0,5780.25
STACK_G3_vs_REST,12222.25,4637.5,12002.25,2659.25,13618.75,25468.75,4109.25,5780.25,0
