Row,BODYsync_Cl3,CROSSsync_Cl3,CROSSturn_Cl3,FACEsync_Cl3,HEADsync_Cl3,INTRAsync_Cl3,MovEx_Cl3,Speech_Cl3,STACK_Cl3
BODYsync_Cl3,0,7584.75,220,9563,1396.5,13246.5,8113,6442,12222.25
CROSSsync_Cl3,7584.75,0,7364.75,1978.25,8981.25,20831.25,528.25,1142.75,4637.5
CROSSturn_Cl3,220,7364.75,0,9343,1616.5,13466.5,7893,6222,12002.25
FACEsync_Cl3,9563,1978.25,9343,0,10959.5,22809.5,1450,3121,2659.25
HEADsync_Cl3,1396.5,8981.25,1616.5,10959.5,0,11850,9509.5,7838.5,13618.75
INTRAsync_Cl3,13246.5,20831.25,13466.5,22809.5,11850,0,21359.5,19688.5,25468.75
MovEx_Cl3,8113,528.25,7893,1450,9509.5,21359.5,0,1671,4109.25
Speech_Cl3,6442,1142.75,6222,3121,7838.5,19688.5,1671,0,5780.25
STACK_Cl3,12222.25,4637.5,12002.25,2659.25,13618.75,25468.75,4109.25,5780.25,0
