Row,BODYsync_G1_vs_REST,CROSSsync_G1_vs_REST,CROSSturn_G1_vs_REST,FACEsync_G1_vs_REST,HEADsync_G1_vs_REST,INTRAsync_G1_vs_REST,MovEx_G1_vs_REST,Speech_G1_vs_REST,STACK_G1_vs_REST
BODYsync_G1_vs_REST,0,10424,21072,16781,8261.5,2489.5,17003,16099.25,22163
CROSSsync_G1_vs_REST,10424,0,10648,6357,2162.5,7934.5,6579,5675.25,11739
CROSSturn_G1_vs_REST,21072,10648,0,4291,12810.5,18582.5,4069,4972.75,1091
FACEsync_G1_vs_REST,16781,6357,4291,0,8519.5,14291.5,222,681.75,5382
HEADsync_G1_vs_REST,8261.5,2162.5,12810.5,8519.5,0,5772,8741.5,7837.75,13901.5
INTRAsync_G1_vs_REST,2489.5,7934.5,18582.5,14291.5,5772,0,14513.5,13609.75,19673.5
MovEx_G1_vs_REST,17003,6579,4069,222,8741.5,14513.5,0,903.75,5160
Speech_G1_vs_REST,16099.25,5675.25,4972.75,681.75,7837.75,13609.75,903.75,0,6063.75
STACK_G1_vs_REST,22163,11739,1091,5382,13901.5,19673.5,5160,6063.75,0
