Row,BODYsync_G3_vs_REST,CROSSsync_G3_vs_REST,CROSSturn_G3_vs_REST,FACEsync_G3_vs_REST,HEADsync_G3_vs_REST,INTRAsync_G3_vs_REST,MovEx_G3_vs_REST,Speech_G3_vs_REST,STACK_G3_vs_REST
BODYsync_G3_vs_REST,0,1,0,1,0,1,1,1,1
CROSSsync_G3_vs_REST,1,0,1,0,1,1,0,0,1
CROSSturn_G3_vs_REST,0,1,0,1,0,1,1,1,1
FACEsync_G3_vs_REST,1,0,1,0,1,1,0,0,0
HEADsync_G3_vs_REST,0,1,0,1,0,1,1,1,1
INTRAsync_G3_vs_REST,1,1,1,1,1,0,1,1,1
MovEx_G3_vs_REST,1,0,1,0,1,1,0,0,1
Speech_G3_vs_REST,1,0,1,0,1,1,0,0,1
STACK_G3_vs_REST,1,1,1,0,1,1,1,1,0
