Row,BODYsync_G1_vs_REST,CROSSsync_G1_vs_REST,CROSSturn_G1_vs_REST,FACEsync_G1_vs_REST,HEADsync_G1_vs_REST,INTRAsync_G1_vs_REST,MovEx_G1_vs_REST,Speech_G1_vs_REST,STACK_G1_vs_REST
BODYsync_G1_vs_REST,NaN,1.45110555838102e-07,0,0,2.57689945795114e-05,0.117575663608773,0,1.71291552370738e-15,0
CROSSsync_G1_vs_REST,NaN,NaN,8.39028315396157e-08,0.000960028337434875,0.150862080344146,4.99636043546724e-05,0.000673373946420736,0.00269372159295976,3.80940140970027e-09
CROSSturn_G1_vs_REST,NaN,NaN,NaN,0.017501412434831,1.42272527092757e-10,0,0.0224427796073081,0.00708797394021511,0.314358322303467
FACEsync_G1_vs_REST,NaN,NaN,NaN,NaN,1.52353042863893e-05,1.19815268817547e-12,0.454734036964081,0.373860707240903,0.00412435934265034
HEADsync_G1_vs_REST,NaN,NaN,NaN,NaN,NaN,0.00239609079194913,9.68329859496464e-06,5.83873897522569e-05,4.28297397547794e-12
INTRAsync_G1_vs_REST,NaN,NaN,NaN,NaN,NaN,NaN,6.06015237991642e-13,1.06958078757461e-11,0
MovEx_G1_vs_REST,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.340651784212013,0.00557314060170618
Speech_G1_vs_REST,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00153252787497555
STACK_G1_vs_REST,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
