Row,BODYsync_G1_vs_REST,CROSSsync_G1_vs_REST,CROSSturn_G1_vs_REST,FACEsync_G1_vs_REST,HEADsync_G1_vs_REST,INTRAsync_G1_vs_REST,MovEx_G1_vs_REST,Speech_G1_vs_REST,STACK_G1_vs_REST
BODYsync_G1_vs_REST,0,5.34093233345827,10.7966352773055,8.59806077204176,4.23293481128794,1.27554211858637,8.71180664483797,8.24875334511014,11.3556296341554
CROSSsync_G1_vs_REST,5.34093233345827,0,5.45570294384724,3.25712843858348,1.10799752217033,4.0653902148719,3.3708743113797,2.90782101165187,6.01469730069711
CROSSturn_G1_vs_REST,10.7966352773055,5.45570294384724,0,2.19857450526376,6.56370046601757,9.52109315871914,2.08482863246755,2.54788193219538,0.558994356849863
FACEsync_G1_vs_REST,8.59806077204176,3.25712843858348,2.19857450526376,0,4.36512596075381,7.32251865345538,0.113745872796214,0.349307426931617,2.75756886211362
HEADsync_G1_vs_REST,4.23293481128794,1.10799752217033,6.56370046601757,4.36512596075381,0,2.95739269270157,4.47887183355003,4.0158185338222,7.12269482286744
INTRAsync_G1_vs_REST,1.27554211858637,4.0653902148719,9.52109315871914,7.32251865345538,2.95739269270157,0,7.43626452625159,6.97321122652376,10.080087515569
MovEx_G1_vs_REST,8.71180664483797,3.3708743113797,2.08482863246755,0.113745872796214,4.47887183355003,7.43626452625159,0,0.463053299727831,2.64382298931741
Speech_G1_vs_REST,8.24875334511014,2.90782101165187,2.54788193219538,0.349307426931617,4.0158185338222,6.97321122652376,0.463053299727831,0,3.10687628904524
STACK_G1_vs_REST,11.3556296341554,6.01469730069711,0.558994356849863,2.75756886211362,7.12269482286744,10.080087515569,2.64382298931741,3.10687628904524,0
