Feature	SortIndex	Mean_W	StErr_W	Mean_W_GM	StErr_W_GM	CVratio	CVratio_GM	P_Relia95CI_GM	SignConst	Z_SignConst	P_SignConst	Pfdr_SignConst	Spearman_GM	Pearson_GM	P_Spearman_GM	P_Pearson_GM	Pfdr_Spearman_GM	Pfdr_Pearson_GM	FeatSelProb	Z_Perm	P_PermProb	Pfdr_PermProb
min_H_intra	1	-0.0222587	0.0900108	-0.0267236	0.0567073	-0.247289	-1.32602	-0.39	0.291529	0.862379	0.711663	0.679478	0.0671485	0.107575	0.231817	0.423061	0.0500979	0.0796126	1	-0.0792986	0.0935665	50.59
max_H_intra	2	-0.337216	0.104358	-0.345446	0.0559461	-3.23134	-26.3269	-1	0.992299	2.93534	2.77835	2.3312	0.00656613	-0.0307833	0.0729082	0.1081	0.0262819	0.0341769	1	-1.16451	0.547292	34.2049
sd_H_intra	3	0.11157	0.184722	0.154412	0.138757	0.603989	5.2273	0.63	0.496883	1.46984	1.14995	0.948179	-0.0120716	-0.0357905	0.0885455	0.13652	0.0261612	0.0341022	1	0.387528	0.27603	44.1955
mean_H_intra	4	0.431813	0.10139	0.432391	0.070855	4.25894	30.0095	1	1	2.95812	2.81035	2.3312	0.0972519	0.119154	0.369978	0.477373	0.0625517	0.0806523	1	1.53872	0.80376	34.2422
md_H_intra	5	-0.146651	0.266544	-0.197791	0.227408	-0.550193	-3.21099	-0.56	0.407774	1.20625	0.943624	0.819871	0.121823	0.123981	0.492126	0.503376	0.0652884	0.0806523	1	-0.477671	0.400533	41.7261
skew_H_intra	6	-0.284377	0.100846	-0.267198	0.0697827	-2.81991	-18.4903	-0.98	1	2.95812	2.81035	2.3312	-0.218799	-0.124172	1.13645	0.505149	0.210725	0.0796126	1	-1.08662	0.471564	42.7951
kurtosis_H_intra	7	0.23068	0.156603	0.272962	0.11038	1.47303	12.1487	0.86	0.790612	2.33873	2.01436	1.71333	-0.204377	0.00191576	1.03639	0.0604262	0.210725	0.0247384	1	0.927528	0.413783	34.5733
min_M_intra	8	-0.0516986	0.146254	-0.086453	0.106345	-0.353485	-4.45796	-0.47	0.492849	1.45791	1.14006	0.948179	0.131279	0.130466	0.543753	0.539192	0.0691327	0.0806523	1	-0.325952	0.220716	45.5973
max_M_intra	9	0.0315796	0.0982329	0.0488546	0.0650464	0.321477	3.14786	0.54	0.322332	0.953499	0.76912	0.702174	0.033197	-0.0167414	0.118231	0.0847805	0.0324202	0.0300236	1	0.124751	0.111811	45.533
sd_M_intra	10	-0.377753	0.104474	-0.371528	0.0713698	-3.61575	-22.3813	-1	0.999267	2.95595	2.80729	2.3312	0.0103385	-0.0929536	0.0729082	0.348711	0.0299293	0.0622251	1	-1.66575	0.88565	34.2973
mean_M_intra	11	0.30185	0.111693	0.309841	0.0645824	2.7025	20.2399	1	0.993766	2.93968	2.78443	2.3312	0.0826107	0.0776626	0.301571	0.279095	0.055819	0.0726432	1	1.0591	0.418754	41.2905
md_M_intra	12	-0.0396399	0.133803	-0.0657362	0.0840485	-0.296257	-3.5483	-0.51	0.398973	1.18021	0.924607	0.819871	0.0707357	0.0826232	0.246797	0.30097	0.055819	0.0760478	1	-0.153753	0.140557	46.3281
skew_M_intra	13	0.154374	0.0996146	0.152946	0.0507568	1.54971	12.5305	0.92	0.936194	2.76938	2.55158	2.1836	0.0226714	0.0162284	0.0928635	0.0940464	0.030971	0.0284577	1	0.5739	0.208031	45.706
kurtosis_M_intra	14	0.0397653	0.124234	0.0172125	0.0921966	0.320085	0.62685	0.27	0.0366703	0.108475	0.340265	0.340265	0.098716	0.0558186	0.374056	0.188596	0.055819	0.0505217	1	0.10126	0.140671	46.0916
