Feature	SortIndex	Mean_W	StErr_W	Mean_W_GM	StErr_W_GM	CVratio	CVratio_GM	P_Relia95CI_GM	SignConst	Z_SignConst	P_SignConst	Pfdr_SignConst	Spearman_GM	Pearson_GM	P_Spearman_GM	P_Pearson_GM	Pfdr_Spearman_GM	Pfdr_Pearson_GM	FeatSelProb	Z_Perm	P_PermProb	Pfdr_PermProb
art_H_speech	19	-0.129372	0.0992917	-0.134483	0.0740887	-1.30295	-9.08922	-0.86	0.813953	2.97871	2.83943	2.59276	-0.450879	-0.445591	4.46424	4.3392	3.61828	3.55796	1	-0.435607	0.0154282	54
art_M_speech	20	-0.212362	0.0944354	-0.207014	0.0685735	-2.24875	-13.4068	-0.95	0.968254	3.54338	3.70439	3.07237	-0.503862	-0.491954	5.57719	5.31505	4.44404	4.21329	1	-0.833137	0.179237	51.3287
pit_sync_H_speech	21	0.0126056	0.061119	0.0119964	0.0190721	0.206246	2.14125	0.72	0.089701	0.328265	0.43021	0.43021	0.0991127	-0.0261623	0.411221	0.137922	0.275401	0.102691	1	0.030904	0.0100107	54
pit_sync_M_speech	22	0.265436	0.0882452	0.273961	0.0551911	3.00793	21.3793	1	1	3.65955	3.8985	3.10178	0.0175226	0.0432831	0.11553	0.153292	0.07993	0.108436	1	1.36739	0.563659	4.53174
int_sync_H_speech	23	-0.0970844	0.0586325	-0.0991133	0.0272839	-1.65581	-20.7214	-0.87	0.852713	3.12055	3.04452	2.68134	-0.17472	-0.148402	0.886549	0.710562	0.684632	0.518961	1	-0.594669	0.197581	50.5146
int_sync_M_speech	24	0.0567977	0.0620203	0.060612	0.0244896	0.915792	10.1357	0.82	0.641934	2.34919	2.02654	1.89185	-0.0362214	-0.0512696	0.131349	0.194292	0.0985608	0.132315	1	0.449801	0.15862	54
art_sync_H_speech	25	0.0611835	0.0438679	0.0592259	0.0212723	1.39472	12.7378	0.89	0.83278	3.0476	2.93803	2.66503	0.045569	0.0701469	0.159904	0.265248	0.109457	0.186657	1	0.285111	0.00959851	53.81
art_sync_M_speech	26	-0.158657	0.0788091	-0.162438	0.0607665	-2.01318	-11.5275	-0.96	0.937246	3.4299	3.52014	3.0279	-0.227276	-0.243393	1.34318	1.49801	1.03608	1.16024	1	-0.626929	0.136016	53.8265
pit_var_H_speech	27	-0.0538525	0.0743131	-0.0609803	0.0548056	-0.72467	-4.86724	-0.67	0.55371	2.02633	1.67029	1.57338	-0.252088	-0.192002	1.5668	1.03193	1.21436	0.753699	1	-0.140484	0.0110372	54
pit_var_M_speech	28	-0.141853	0.0979068	-0.150693	0.048186	-1.44886	-15.2531	-0.89	0.841639	3.08002	2.98509	2.66503	-0.313789	-0.276372	2.27376	1.83047	1.73365	1.37255	1	-0.522207	0.108321	54
int_var_H_speech	29	0.0425429	0.076913	0.0512548	0.0445479	0.55313	3.56617	0.59	0.423773	1.55082	1.21844	1.15629	-0.263731	-0.303168	1.69467	2.13298	1.30211	1.64105	1	0.51326	0.0965138	51.4611
int_var_M_speech	30	-0.0666048	0.0553746	-0.0570026	0.035421	-1.20281	-8.12233	-0.73	0.784422	2.87063	2.68862	2.49025	-0.317275	-0.358838	2.33261	2.8782	1.81031	2.20254	1	-1.07558	0.362894	36.8934
