Feature	SortIndex	Mean_W	StErr_W	Mean_W_GM	StErr_W_GM	CVratio	CVratio_GM	P_Relia95CI_GM	SignConst	Z_SignConst	P_SignConst	Pfdr_SignConst	Spearman_GM	Pearson_GM	P_Spearman_GM	P_Pearson_GM	Pfdr_Spearman_GM	Pfdr_Pearson_GM	FeatSelProb	Z_Perm	P_PermProb	Pfdr_PermProb
dyad_pit_sync_MEA_H_speech	1	-0.147861	0.104691	-0.152554	0.0394842	-1.41235	-19.9708	-0.93	0.835733	3.05841	2.95367	2.66503	-0.264365	-0.267001	1.70601	1.72932	1.26893	1.27327	1	-1.49527	0.622879	7.15856
dyad_pit_sync_MEA_M_speech	2	-0.138858	0.103484	-0.147121	0.0531107	-1.34183	-17.5491	-0.83	0.805094	2.94628	2.79369	2.57184	-0.232459	-0.24542	1.37914	1.50599	1.03041	1.13585	1	-1.73198	0.671693	1.51905
dyad_int_sync_MEA_H_speech	3	0.0507631	0.080304	0.0535909	0.026299	0.632138	6.81384	0.76	0.489849	1.79263	1.43751	1.35833	-0.0273482	-0.0258128	0.124197	0.134317	0.0911999	0.102719	1	0.360726	0.0762559	0
dyad_int_sync_MEA_M_speech	4	0.29275	0.0781882	0.302472	0.0477665	3.74418	27.1068	1	1	3.65955	3.8985	3.10178	0.159531	0.106223	0.781769	0.442374	0.573984	0.311557	1	2.36552	1.3293	4.70265
dyad_spr_H_speech	5	-0.256774	0.0703509	-0.257966	0.0371718	-3.64991	-33.918	-1	1	3.65955	3.8985	3.10178	-0.480896	-0.488332	5.04315	5.24076	4.15355	4.22266	1	-2.91088	1.2701	0
dyad_spr_M_speech	6	-0.454991	0.062549	-0.454154	0.0358272	-7.27415	-55.4957	-1	1	3.65955	3.8985	3.10178	-0.562295	-0.542823	7.02724	6.47789	5.58262	5.00659	1	-7.99427	4.0481	0
dyad_str_H_speech	7	-0.241285	0.108792	-0.250012	0.067569	-2.21787	-15.4308	-0.99	0.984127	3.60146	3.80075	3.10178	0.0410223	0.0938187	0.159949	0.378706	0.10826	0.259547	1	-4.05393	1.48553	0.0493929
dyad_str_M_speech	8	-0.136453	0.153212	-0.14215	0.0741948	-0.890617	-4.9826	-1	0.745663	2.72879	2.4978	2.32171	0.268924	0.14374	1.76253	0.677044	1.33238	0.494137	1	-0.383567	0.102173	51.3848
dyad_ttg_H_speech	9	0.0875105	0.091459	0.0773079	0.0505961	0.956828	6.56121	0.74	0.717239	2.62477	2.36298	2.20808	0.151777	0.205777	0.733623	1.15061	0.53947	0.843302	1	1.27524	0.468628	36.3494
dyad_ttg_M_speech	10	-0.050102	0.132018	-0.0414253	0.0964408	-0.37951	-0.252893	-0.3	0.112588	0.41202	0.468314	0.453591	0.343392	0.32287	2.63414	2.39458	2.05436	1.83907	1	-0.601835	0.393982	33.7412
dyad_no_turns_H_speech	11	0.138712	0.0822015	0.142523	0.0465691	1.68746	13.0463	0.92	0.923957	3.38127	3.44278	3.00705	-0.0432129	-0.0338953	0.172871	0.143472	0.116786	0.108063	1	1.03996	0.291462	22.5225
dyad_no_turns_M_speech	12	0.0309056	0.0844052	0.0357133	0.0272297	0.366158	3.09047	0.78	0.310816	1.13745	0.893891	0.848134	-0.0865114	-0.157545	0.342574	0.759235	0.217135	0.555933	1	0.22172	0.245264	20.2191
nsyll_H_speech	13	-0.087987	0.0461535	-0.0832856	0.0313046	-1.9064	-13.2037	-0.94	0.934662	3.42045	3.50502	3.0279	-0.373958	-0.361297	3.10763	2.9346	2.42126	2.26926	1	-0.952337	0.205254	46.3803
nsyll_M_speech	14	-0.076353	0.108778	-0.0857507	0.0849079	-0.701914	-5.53454	-0.58	0.593946	2.17358	1.82773	1.71234	-0.450572	-0.45408	4.41196	4.49178	3.61361	3.64726	1	-0.846343	0.250841	50.0754
npause_H_speech	15	-0.199408	0.0688506	-0.206263	0.032157	-2.89625	-31.2309	-1	0.993725	3.63659	3.85969	3.10178	-0.11594	-0.119853	0.501731	0.519394	0.346265	0.356236	1	-2.69102	1.23314	8.45318
npause_M_speech	16	-0.0350597	0.101729	-0.0323737	0.0741695	-0.344637	-1.77858	-0.41	0.225914	0.826743	0.689962	0.659999	-0.190006	-0.195606	1.01928	1.0574	0.764837	0.781214	1	-0.558433	0.300059	46.3845
pho_H_speech	17	0.0677946	0.0386485	0.0673596	0.0210407	1.75413	15.0137	0.96	0.943522	3.45287	3.557	3.0279	-0.0478475	-0.0474735	0.171479	0.165049	0.109341	0.123821	1	0.867758	0.258355	46.457
pho_M_speech	18	-0.0738461	0.0639775	-0.0646604	0.0431977	-1.15425	-8.30923	-0.67	0.883721	3.23402	3.21446	2.81652	-0.205808	-0.178338	1.1445	0.918194	0.873056	0.66856	1	-0.377974	0.0560403	54
