Feature	SortIndex	Mean_W	StErr_W	Mean_W_GM	StErr_W_GM	CVratio	CVratio_GM	P_Relia95CI_GM	SignConst	Z_SignConst	P_SignConst	Pfdr_SignConst	Spearman_GM	Pearson_GM	P_Spearman_GM	P_Pearson_GM	Pfdr_Spearman_GM	Pfdr_Pearson_GM	FeatSelProb	Z_Perm	P_PermProb	Pfdr_PermProb
H_body_total_movement	1	-0.370657	0.0787545	-0.371779	0.0406129	-4.70649	-40.7703	-1	1	2.17572	1.83008	1.52905	-0.374692	-0.389853	2.86885	3.07073	2.57951	2.79932	1	-0.783264	0.32614	41.044
H_head_total_movement	2	0.132417	0.296798	0.162839	0.241399	0.446152	3.6201	0.42	0.268504	0.584187	0.553545	0.377454	-0.361215	-0.379094	2.67769	2.95716	2.48952	2.72868	1	0.227403	0.214728	41.7694
M_body_total_movement	3	-0.093568	0.249482	-0.0894662	0.202261	-0.375049	-1.59092	-0.42	0.0729335	0.158683	0.359559	0.359559	-0.42435	-0.427114	3.61808	3.65537	3.1639	3.18642	1	-0.400996	0.193824	41.7694
M_head_total_movement	4	-0.68415	0.0755133	-0.689282	0.0478183	-9.05999	-62.9038	-1	1	2.17572	1.83008	1.52905	-0.473983	-0.471251	4.48847	4.41689	3.71427	3.67959	1	-1.60632	1.16328	15.828
mean_intensity_M	5	0.405792	0.102559	0.402493	0.0622756	3.95667	26.2576	1	1	2.17572	1.83008	1.52905	0.25632	0.243028	1.49207	1.37821	1.41289	1.34601	1	1.05192	0.431538	40.299
mean_intensity_H	6	0.0692878	0.161378	0.0663317	0.122089	0.429352	1.96844	0.37	0.164055	0.356938	0.443011	0.36383	0.209242	0.227623	1.09164	1.23598	1.09164	1.2323	1	0.351266	0.112619	45.497
