Metric	ASD-COMP vs COMP-COMP
TP	9
TN	18
FP	26
FN	25
P	35
N	43
acc	34.6154
sens	26.4706
spec	40.9091
FPR	59.0909
PPV	25.7143
NPV	41.8605
GMean	0.820851
AUC	0.296791
AUC_lower	0.182284
AUC_upper	0.411298
BAC	33.6898
Fscore	0.26087
MCC	-0.325226
pLR	0.447964
nLR	1.79739
PSI	-32.4252
NNP	-3.08402
NND	-3.06557
ECE	0.494245
Youden	-0.326203
DOR	0.200672
Kappa	-0.325117
Kappa_Z	-2.86845
Kappa_P	0.0041249
