Metric	BPD-COMP vs COMP-COMP
TP	24
TN	24
FP	20
FN	18
P	44
N	42
acc	55.814
sens	57.1429
spec	54.5455
FPR	45.4545
PPV	54.5455
NPV	57.1429
GMean	1.05683
AUC	0.516234
AUC_lower	0.393519
AUC_upper	0.638948
BAC	55.8442
Fscore	0.55814
MCC	0.116883
pLR	1.25714
nLR	0.785714
PSI	11.6883
NNP	8.55556
NND	8.55556
ECE	0.48319
Youden	0.116883
DOR	1.58041
Kappa	0.116757
Kappa_Z	1.07926
Kappa_P	0.28047
