Metric	ASD-COMP vs REST	BPD-COMP vs REST	COMP-COMP vs REST
TP	21	14	27
TN	58	68	56
FP	28	10	20
FN	13	28	17
P	49	24	47
N	71	96	73
acc	65.8333	68.3333	69.1667
sens	61.7647	33.3333	61.3636
spec	67.4419	87.1795	73.6842
FPR	32.5581	12.8205	26.3158
PPV	42.8571	58.3333	57.4468
NPV	81.6901	70.8333	76.7123
GMean	1.13669	1.09778	1.1621
AUC	0.7329	0.749389	0.689593
AUC_lower	0.53239	0.494465	0.572658
AUC_upper	0.759675	0.710664	0.77782
BAC	64.6033	60.2564	67.5239
Fscore	0.506024	0.424242	0.593407
MCC	0.267758	0.2446	0.346006
pLR	1.89706	2.6	2.33182
nLR	0.566937	0.764706	0.524351
PSI	24.5473	29.1667	34.1591
NNP	4.07377	3.42857	2.92747
NND	3.42389	4.875	2.85324
ECE	0.933333	1.11667	0.883333
Youden	0.292066	0.205128	0.350478
DOR	3.59883	6.76	5.43738
Kappa	0.257695	0.227642	0.345519
Kappa_Z	2.55442	2.10639	3.76908
Kappa_P	0.0106365	0.0351701	0.000163849
