Metric	ASD-COMP vs BPD-COMP
TP	23
TN	36
FP	6
FN	11
P	29
N	47
acc	77.6316
sens	67.6471
spec	85.7143
FPR	14.2857
PPV	79.3103
NPV	76.5957
GMean	1.23839
AUC	0.748599
AUC_lower	0.635688
AUC_upper	0.861511
BAC	76.6807
Fscore	0.730159
MCC	0.546189
pLR	4.73529
nLR	0.377451
PSI	55.9061
NNP	1.78871
NND	1.87402
ECE	0.507687
Youden	0.533613
DOR	22.423
Kappa	0.541193
Kappa_Z	4.59419
Kappa_P	4.34427e-06
