Metric	ASD-COMP vs COMP-COMP
TP	20
TN	27
FP	17
FN	14
P	37
N	41
acc	60.2564
sens	58.8235
spec	61.3636
FPR	38.6364
PPV	54.0541
NPV	65.8537
GMean	1.0963
AUC	0.606952
AUC_lower	0.479416
AUC_upper	0.734488
BAC	60.0936
Fscore	0.56338
MCC	0.20047
pLR	1.52249
nLR	0.671024
PSI	19.9077
NNP	5.02318
NND	4.95364
ECE	0.457052
Youden	0.201872
DOR	2.31798
Kappa	0.199868
Kappa_Z	1.74952
Kappa_P	0.0802014
