Metric	BPD-COMP vs COMP-COMP
TP	30
TN	29
FP	15
FN	12
P	45
N	41
acc	68.6047
sens	71.4286
spec	65.9091
FPR	34.0909
PPV	66.6667
NPV	70.7317
GMean	1.17191
AUC	0.736472
AUC_lower	0.63059
AUC_upper	0.842353
BAC	68.6688
Fscore	0.689655
MCC	0.37368
pLR	2.09524
nLR	0.433498
PSI	37.3984
NNP	2.67391
NND	2.67826
ECE	0.477866
Youden	0.373377
DOR	4.39002
Kappa	0.372771
Kappa_Z	3.43203
Kappa_P	0.000599088
