Metric	ASD-COMP vs COMP-COMP
TP	27
TN	36
FP	8
FN	7
P	35
N	43
acc	80.7692
sens	79.4118
spec	81.8182
FPR	18.1818
PPV	77.1429
NPV	83.7209
GMean	1.26976
AUC	0.84492
AUC_lower	0.752979
AUC_upper	0.93686
BAC	80.615
Fscore	0.782609
MCC	0.610466
pLR	4.36765
nLR	0.251634
PSI	60.8638
NNP	1.64301
NND	1.63319
ECE	0.616986
Youden	0.612299
DOR	19.0763
Kappa	0.61026
Kappa_Z	5.38422
Kappa_P	7.27598e-08
