Metric	ASD-COMP vs BPD-COMP
TP	19
TN	24
FP	18
FN	15
P	37
N	39
acc	56.5789
sens	55.8824
spec	57.1429
FPR	42.8571
PPV	51.3514
NPV	61.5385
GMean	1.06313
AUC	0.609244
AUC_lower	0.480717
AUC_upper	0.73777
BAC	56.5126
Fscore	0.535211
MCC	0.129573
pLR	1.30392
nLR	0.772059
PSI	12.8898
NNP	7.75806
NND	7.67742
ECE	0.512828
Youden	0.130252
DOR	1.70021
Kappa	0.129167
Kappa_Z	1.11561
Kappa_P	0.264589
