Metric	ASD-COMP vs COMP-COMP
TP	27
TN	31
FP	13
FN	7
P	40
N	38
acc	74.359
sens	79.4118
spec	70.4545
FPR	29.5455
PPV	67.5
NPV	81.5789
GMean	1.2242
AUC	0.78008
AUC_lower	0.673486
AUC_upper	0.886674
BAC	74.9332
Fscore	0.72973
MCC	0.494711
pLR	2.68778
nLR	0.29222
PSI	49.0789
NNP	2.03753
NND	2.00536
ECE	0.494836
Youden	0.498663
DOR	7.22418
Kappa	0.48886
Kappa_Z	4.17282
Kappa_P	3.0085e-05
