Metric	BPD-COMP vs COMP-COMP
TP	22
TN	26
FP	18
FN	20
P	40
N	46
acc	55.814
sens	52.381
spec	59.0909
FPR	40.9091
PPV	55
NPV	56.5217
GMean	1.0558
AUC	0.569264
AUC_lower	0.447807
AUC_upper	0.690722
BAC	55.7359
Fscore	0.536585
MCC	0.114968
pLR	1.28042
nLR	0.805861
PSI	11.5217
NNP	8.67925
NND	8.71698
ECE	0.662691
Youden	0.114719
DOR	1.63948
Kappa	0.114843
Kappa_Z	1.06156
Kappa_P	0.288436
