Metric	ASD-COMP vs COMP-COMP
TP	15
TN	32
FP	12
FN	19
P	27
N	51
acc	60.2564
sens	44.1176
spec	72.7273
FPR	27.2727
PPV	55.5556
NPV	62.7451
GMean	1.08095
AUC	0.627005
AUC_lower	0.500768
AUC_upper	0.753242
BAC	58.4225
Fscore	0.491803
MCC	0.175577
pLR	1.61765
nLR	0.768382
PSI	18.3007
NNP	5.46429
NND	5.93651
ECE	0.5622
Youden	0.168449
DOR	2.61678
Kappa	0.172485
Kappa_Z	1.44933
Kappa_P	0.147247
