Metric	BPD-COMP vs COMP-COMP
TP	27
TN	28
FP	16
FN	15
P	43
N	43
acc	63.9535
sens	64.2857
spec	63.6364
FPR	36.3636
PPV	62.7907
NPV	65.1163
GMean	1.13103
AUC	0.669913
AUC_lower	0.555607
AUC_upper	0.78422
BAC	63.961
Fscore	0.635294
MCC	0.279145
pLR	1.76786
nLR	0.561224
PSI	27.907
NNP	3.58333
NND	3.5814
ECE	0.660759
Youden	0.279221
DOR	3.12532
Kappa	0.27907
Kappa_Z	2.58589
Kappa_P	0.0097128
