Metric	ASD-COMP vs REST	BPD-COMP vs REST	COMP-COMP vs REST
TP	21	10	23
TN	48	68	58
FP	38	10	18
FN	13	32	21
P	59	20	41
N	61	100	79
acc	57.5	65	67.5
sens	61.7647	23.8095	52.2727
spec	55.814	87.1795	76.3158
FPR	44.186	12.8205	23.6842
PPV	35.5932	50	56.0976
NPV	78.6885	68	73.4177
GMean	1.08434	1.05351	1.13397
AUC	0.669802	0.705586	0.720993
AUC_lower	0.472134	0.445833	0.538121
AUC_upper	0.703653	0.664057	0.747764
BAC	58.7893	55.4945	64.2943
Fscore	0.451613	0.322581	0.541176
MCC	0.158447	0.140642	0.290482
pLR	1.39783	1.85714	2.20707
nLR	0.685049	0.87395	0.625392
PSI	14.2817	18	29.5153
NNP	7.00195	5.55556	3.38808
NND	5.68872	9.1	3.49791
ECE	0.933333	1.11667	0.9
Youden	0.175787	0.10989	0.285885
DOR	1.95394	3.44898	4.87116
Kappa	0.143816	0.125	0.290049
Kappa_Z	1.27431	1.07246	3.1632
Kappa_P	0.202553	0.283516	0.00156043
