Metric	ASD-COMP vs BPD-COMP
TP	26
TN	25
FP	17
FN	8
P	43
N	33
acc	67.1053
sens	76.4706
spec	59.5238
FPR	40.4762
PPV	60.4651
NPV	75.7576
GMean	1.16617
AUC	0.719188
AUC_lower	0.601748
AUC_upper	0.836628
BAC	67.9972
Fscore	0.675325
MCC	0.361084
pLR	1.88927
nLR	0.395294
PSI	36.2227
NNP	2.7607
NND	2.77821
ECE	0.52244
Youden	0.359944
DOR	3.56935
Kappa	0.351093
Kappa_Z	2.8373
Kappa_P	0.00454968
