Metric	BPD-COMP vs COMP-COMP
TP	25
TN	28
FP	16
FN	17
P	41
N	45
acc	61.6279
sens	59.5238
spec	63.6364
FPR	36.3636
PPV	60.9756
NPV	62.2222
GMean	1.10978
AUC	0.692641
AUC_lower	0.58086
AUC_upper	0.804422
BAC	61.5801
Fscore	0.60241
MCC	0.23179
pLR	1.6369
nLR	0.636054
PSI	23.1978
NNP	4.31075
NND	4.31776
ECE	0.747818
Youden	0.231602
DOR	2.67946
Kappa	0.231727
Kappa_Z	2.1472
Kappa_P	0.031777
