Metric	BPD-COMP vs COMP-COMP
TP	21
TN	27
FP	17
FN	21
P	38
N	48
acc	55.814
sens	50
spec	61.3636
FPR	38.6364
PPV	55.2632
NPV	56.25
GMean	1.05529
AUC	0.594156
AUC_lower	0.473876
AUC_upper	0.714436
BAC	55.6818
Fscore	0.525
MCC	0.114382
pLR	1.29412
nLR	0.814815
PSI	11.5132
NNP	8.68571
NND	8.8
ECE	0.588749
Youden	0.113636
DOR	1.67474
Kappa	0.113883
Kappa_Z	1.04259
Kappa_P	0.297139
