Metric	ASD-COMP vs BPD-COMP
TP	24
TN	39
FP	3
FN	10
P	27
N	49
acc	82.8947
sens	70.5882
spec	92.8571
FPR	7.14286
PPV	88.8889
NPV	79.5918
GMean	1.27846
AUC	0.805322
AUC_lower	0.703326
AUC_upper	0.907318
BAC	81.7227
Fscore	0.786885
MCC	0.65915
pLR	9.88235
nLR	0.316742
PSI	68.4807
NNP	1.46026
NND	1.57616
ECE	0.634777
Youden	0.634454
DOR	97.6609
Kappa	0.647143
Kappa_Z	5.35893
Kappa_P	8.37151e-08
