Metric	ASD-COMP vs BPD-COMP
TP	18
TN	29
FP	13
FN	16
P	31
N	45
acc	61.8421
sens	52.9412
spec	69.0476
FPR	30.9524
PPV	58.0645
NPV	64.4444
GMean	1.10449
AUC	0.677871
AUC_lower	0.555232
AUC_upper	0.800511
BAC	60.9944
Fscore	0.553846
MCC	0.222474
pLR	1.71041
nLR	0.681542
PSI	22.509
NNP	4.44268
NND	4.54777
ECE	0.719595
Youden	0.219888
DOR	2.92549
Kappa	0.221751
Kappa_Z	1.91466
Kappa_P	0.0555361
