Metric	ASD-COMP vs BPD-COMP
TP	20
TN	33
FP	9
FN	14
P	29
N	47
acc	69.7368
sens	58.8235
spec	78.5714
FPR	21.4286
PPV	68.9655
NPV	70.2128
GMean	1.17216
AUC	0.757703
AUC_lower	0.646342
AUC_upper	0.869064
BAC	68.6975
Fscore	0.634921
MCC	0.382762
pLR	2.7451
nLR	0.524064
PSI	39.1783
NNP	2.55243
NND	2.67416
ECE	0.5662
Youden	0.37395
DOR	7.53556
Kappa	0.379261
Kappa_Z	3.21955
Kappa_P	0.00128391
