Metric	ASD-COMP vs REST	BPD-COMP vs REST	COMP-COMP vs REST
TP	26	3	18
TN	35	68	64
FP	51	10	12
FN	8	39	26
P	77	13	30
N	43	107	90
acc	50.8333	59.1667	68.3333
sens	76.4706	7.14286	40.9091
spec	40.6977	87.1795	84.2105
FPR	59.3023	12.8205	15.7895
PPV	33.7662	23.0769	60
NPV	81.3953	63.5514	71.1111
GMean	1.08244	0.971197	1.11857
AUC	0.659884	0.519841	0.673894
AUC_lower	0.470045	0.363701	0.519829
AUC_upper	0.701638	0.579522	0.731367
BAC	58.5841	47.1612	62.5598
Fscore	0.468468	0.109091	0.486486
MCC	0.161338	-0.0871319	0.279553
pLR	1.2895	0.557143	2.59091
nLR	0.578151	1.06513	0.701705
PSI	15.1616	-13.3717	31.1111
NNP	6.59562	-7.47849	3.21429
NND	5.8247	-17.6129	3.98095
ECE	0.85	1.28333	0.966667
Youden	0.171683	-0.0567766	0.251196
DOR	1.66282	0.310408	6.71281
Kappa	0.124196	-0.0675381	0.269231
Kappa_Z	0.91264	-0.499081	2.67294
Kappa_P	0.361432	0.617723	0.00751903
