Metric	ASD-COMP vs COMP-COMP
TP	20
TN	30
FP	14
FN	14
P	34
N	44
acc	64.1026
sens	58.8235
spec	68.1818
FPR	31.8182
PPV	58.8235
NPV	68.1818
GMean	1.12697
AUC	0.608289
AUC_lower	0.480831
AUC_upper	0.735747
BAC	63.5027
Fscore	0.588235
MCC	0.270053
pLR	1.84874
nLR	0.603922
PSI	27.0053
NNP	3.70297
NND	3.70297
ECE	0.49671
Youden	0.270053
DOR	3.41784
Kappa	0.270053
Kappa_Z	2.38505
Kappa_P	0.0170769
