Metric	BPD-COMP vs COMP-COMP
TP	12
TN	16
FP	28
FN	30
P	40
N	46
acc	32.5581
sens	28.5714
spec	36.3636
FPR	63.6364
PPV	30
NPV	34.7826
GMean	0.805823
AUC	0.3079
AUC_lower	0.196745
AUC_upper	0.419056
BAC	32.4675
Fscore	0.292683
MCC	-0.351411
pLR	0.44898
nLR	1.96429
PSI	-35.2174
NNP	-2.83951
NND	-2.85185
ECE	0.508141
Youden	-0.350649
DOR	0.201583
Kappa	-0.351029
Kappa_Z	-3.24477
Kappa_P	0.00117548
