Metric	ASD-COMP vs REST	BPD-COMP vs REST	COMP-COMP vs REST
TP	26	4	19
TN	42	75	52
FP	44	3	24
FN	8	38	25
P	70	7	43
N	50	113	77
acc	56.6667	65.8333	59.1667
sens	76.4706	9.52381	43.1818
spec	48.8372	96.1538	68.4211
FPR	51.1628	3.84615	31.5789
PPV	37.1429	57.1429	44.186
NPV	84	66.3717	67.5325
GMean	1.11941	1.028	1.05642
AUC	0.650821	0.583333	0.560407
AUC_lower	0.511949	0.419254	0.450181
AUC_upper	0.741129	0.637522	0.665848
BAC	62.6539	52.8388	55.8014
Fscore	0.5	0.163265	0.436782
MCC	0.231318	0.115545	0.116605
pLR	1.49465	2.47619	1.36742
nLR	0.481793	0.940952	0.83042
PSI	21.1429	23.5145	11.7185
NNP	4.72973	4.25269	8.53351
NND	3.95135	17.6129	8.61856
ECE	0.85	1.23333	0.933333
Youden	0.253078	0.0567766	0.116029
DOR	2.23399	6.13152	1.86985
Kappa	0.19171	0.0702948	0.116587
Kappa_Z	1.508	0.452993	1.27652
Kappa_P	0.131555	0.650554	0.201772
