Metric	ASD-COMP vs BPD-COMP
TP	13
TN	23
FP	19
FN	21
P	32
N	44
acc	47.3684
sens	38.2353
spec	54.7619
FPR	45.2381
PPV	40.625
NPV	52.2727
GMean	0.964351
AUC	0.455182
AUC_lower	0.324848
AUC_upper	0.585516
BAC	46.4986
Fscore	0.393939
MCC	-0.0705236
pLR	0.845201
nLR	1.12788
PSI	-7.10227
NNP	-14.08
NND	-14.28
ECE	0.489086
Youden	-0.070028
DOR	0.714365
Kappa	-0.0704225
Kappa_Z	-0.611308
Kappa_P	0.540995
