Metric	ASD-COMP vs REST	BPD-COMP vs REST	COMP-COMP vs REST
TP	13	12	8
TN	38	65	50
FP	48	13	26
FN	21	30	36
P	61	25	34
N	59	95	86
acc	42.5	64.1667	48.3333
sens	38.2353	28.5714	18.1818
spec	44.186	83.3333	65.7895
FPR	55.814	16.6667	34.2105
PPV	21.3115	48	23.5294
NPV	64.4068	68.4211	58.1395
GMean	0.907862	1.05785	0.916359
AUC	0.422538	0.568376	0.438248
AUC_lower	0.302094	0.450455	0.31544
AUC_upper	0.522119	0.668593	0.524273
BAC	41.2107	55.9524	41.9856
Fscore	0.273684	0.358209	0.205128
MCC	-0.158447	0.139817	-0.171413
pLR	0.685049	1.71429	0.531469
nLR	1.39783	0.857143	1.24364
PSI	-14.2817	16.4211	-18.3311
NNP	-7.00195	6.08974	-5.45522
NND	-5.68872	8.4	-6.23881
ECE	1.06667	1.13333	1.16667
Youden	-0.175787	0.119048	-0.160287
DOR	0.469292	2.93878	0.282459
Kappa	-0.141754	0.131313	-0.168342
Kappa_Z	-1.22808	1.23627	-1.75307
Kappa_P	0.219417	0.216357	0.0795891
