Metric	ASD-COMP vs COMP-COMP
TP	22
TN	32
FP	12
FN	12
P	34
N	44
acc	69.2308
sens	64.7059
spec	72.7273
FPR	27.2727
PPV	64.7059
NPV	72.7273
GMean	1.17232
AUC	0.776738
AUC_lower	0.669508
AUC_upper	0.883968
BAC	68.7166
Fscore	0.647059
MCC	0.374332
pLR	2.37255
nLR	0.485294
PSI	37.4332
NNP	2.67143
NND	2.67143
ECE	0.499513
Youden	0.374332
DOR	5.62899
Kappa	0.374332
Kappa_Z	3.30601
Kappa_P	0.000946358
