Metric	ASD-COMP vs REST	BPD-COMP vs REST	COMP-COMP vs REST
TP	15	9	22
TN	43	71	52
FP	43	7	24
FN	19	33	22
P	58	16	46
N	62	104	74
acc	48.3333	66.6667	61.6667
sens	44.1176	21.4286	50
spec	50	91.0256	68.4211
FPR	50	8.97436	31.5789
PPV	25.8621	56.25	47.8261
NPV	69.3548	68.2692	70.2703
GMean	0.970143	1.06044	1.08821
AUC	0.479993	0.6221	0.638606
AUC_lower	0.356707	0.453233	0.484996
AUC_upper	0.584469	0.671309	0.699215
BAC	47.0588	56.2271	59.2105
Fscore	0.326087	0.310345	0.488889
MCC	-0.0530432	0.174748	0.18258
pLR	0.882353	2.38776	1.58333
nLR	1.11765	0.863179	0.730769
PSI	-4.78309	24.5192	18.0964
NNP	-20.907	4.07843	5.52597
NND	-17	8.02941	5.42857
ECE	1.03333	1.13333	0.933333
Youden	-0.0588235	0.124542	0.184211
DOR	0.778547	5.70137	2.50694
Kappa	-0.048478	0.145299	0.182464
Kappa_Z	-0.434445	1.14692	1.99502
Kappa_P	0.663965	0.251414	0.0460406
