Metric	BPD-COMP vs COMP-COMP
TP	31
TN	25
FP	19
FN	11
P	50
N	36
acc	65.1163
sens	73.8095
spec	56.8182
FPR	43.1818
PPV	62
NPV	69.4444
GMean	1.14292
AUC	0.75974
AUC_lower	0.657578
AUC_upper	0.861903
BAC	65.3139
Fscore	0.673913
MCC	0.310334
pLR	1.70927
nLR	0.460952
PSI	31.4444
NNP	3.18021
NND	3.26502
ECE	0.574004
Youden	0.306277
DOR	2.92161
Kappa	0.304957
Kappa_Z	2.6927
Kappa_P	0.00708753
