Metric	ASD-COMP vs REST	BPD-COMP vs REST	COMP-COMP vs REST
TP	18	1	18
TN	47	67	43
FP	39	11	33
FN	16	41	26
P	57	12	51
N	63	108	69
acc	54.1667	56.6667	50.8333
sens	52.9412	2.38095	40.9091
spec	54.6512	85.8974	56.5789
FPR	45.3488	14.1026	43.4211
PPV	31.5789	8.33333	35.2941
NPV	74.6032	62.037	62.3188
GMean	1.03727	0.939566	0.98736
AUC	0.534713	0.386447	0.503589
AUC_lower	0.422026	0.334832	0.380094
AUC_upper	0.653897	0.547952	0.594786
BAC	53.7962	44.1392	48.744
Fscore	0.395604	0.037037	0.378947
MCC	0.0685104	-0.186362	-0.0244871
pLR	1.16742	0.168831	0.942149
nLR	0.861076	1.13646	1.0444
PSI	6.18212	-29.6296	-2.38704
NNP	16.1757	-3.375	-41.8929
NND	13.1712	-8.53125	-39.8095
ECE	0.983333	1.33333	1.01667
Youden	0.0759234	-0.117216	-0.0251196
DOR	1.36287	0.028504	0.887644
Kappa	0.0630324	-0.140351	-0.0243056
Kappa_Z	0.571337	-1.01411	-0.260545
Kappa_P	0.567771	0.31053	0.794444
