Metric	ASD-COMP vs BPD-COMP
TP	22
TN	32
FP	10
FN	12
P	32
N	44
acc	71.0526
sens	64.7059
spec	76.1905
FPR	23.8095
PPV	68.75
NPV	72.7273
GMean	1.187
AUC	0.771008
AUC_lower	0.662046
AUC_upper	0.879971
BAC	70.4482
Fscore	0.666667
MCC	0.411858
pLR	2.71765
nLR	0.463235
PSI	41.4773
NNP	2.41096
NND	2.44521
ECE	0.66211
Youden	0.408964
DOR	7.38561
Kappa	0.411268
Kappa_Z	3.57004
Kappa_P	0.000356925
